age,ax_f,b1x_f,b2x_f
0,-5.139286346142019,-0.16692425339668157,-0.19894405990787525
1,-7.679118272897474,-0.1791738111103734,-0.14006509319244181
2,-8.220972395371998,-0.19173806570495855,-0.0733619800339124
3,-8.505920660791501,-0.16193485834111204,-0.21849156047976637
4,-8.736447701433342,-0.17551266418762737,-0.3291646947623882
5,-8.867884070339697,-0.1779359678594077,-0.01929446728713029
6,-8.905705478813566,-0.1789300888334933,-0.025764115622454935
7,-9.077591172258042,-0.18226059840297607,-0.13436007222784518
8,-9.09586430072928,-0.16087126192444456,-0.20769711614254327
9,-9.080784987684327,-0.166972157716743,-0.18135404122511067
10,-9.051500154738255,-0.15944411520888307,0.022026695437277963
11,-9.054039563084782,-0.1366088514255978,-0.11418981661223382
12,-8.914215789715142,-0.1277060094637106,-0.10010893126028782
13,-8.867402493574167,-0.13287250770544243,-0.036303591788046756
14,-8.691593638061905,-0.12496636644685521,0.0921861097317782
15,-8.54397855828861,-0.11392661964981203,0.11695141322852352
16,-8.331534216522227,-0.08922890680946223,0.2114823399456044
17,-8.170040910719925,-0.07785329328651147,0.13329338523348494
18,-8.115095304808891,-0.05988566796282808,0.1133269953685511
19,-8.103296373072473,-0.046178729226356456,0.1563593715051349
20,-8.10788627123272,-0.06429047826779283,0.133674787688314
21,-8.087769122729675,-0.04714181369744037,0.24843387814454942
22,-8.104965374859258,-0.053830425706141244,0.21898350563181868
23,-8.092738477698985,-0.0494855174550232,0.10727297595554137
24,-8.06066648952778,-0.04967650849250283,0.2067250449518457
25,-8.017673703618623,-0.05714730335621572,0.10028895649459096
26,-7.9495236064741475,-0.046265564709972104,0.05235978603932754
27,-7.902753458148237,-0.047240981195269836,0.12692039439813543
28,-7.850539244481397,-0.044052522775225006,0.027228605254334043
29,-7.795770294215776,-0.04785753847777876,0.02256820604416107
30,-7.710839930695568,-0.03983124417147263,0.008826379404170895
31,-7.6354491330682865,-0.05705260664481032,0.044329510655723325
32,-7.552994407945814,-0.04817372030138486,-0.02169916988346558
33,-7.476596749486736,-0.04808510636830821,0.004029227204411135
34,-7.380342090989289,-0.04510673467566507,-0.06081013550311701
35,-7.2882266968077225,-0.053565198962178096,-0.0003010536205307124
36,-7.212720125967629,-0.052932683430622116,0.04492878495395868
37,-7.1280002480206095,-0.049743792987242456,-0.01082066673675635
38,-7.030605636212642,-0.05507932073374422,-0.01804022064483475
39,-6.932852467082524,-0.06218538627225021,-0.013973916519486944
40,-6.838069016310077,-0.05533196158755926,-0.02986804415277825
41,-6.742451263250261,-0.05929017038263395,-0.0029401872267795365
42,-6.639605799726529,-0.065538791049437,0.011304352111275071
43,-6.530649505248857,-0.06611235353639332,0.0272369810013409
44,-6.436378986141131,-0.07154973779555468,0.005419122778147594
45,-6.332738432812223,-0.08123014473540596,-0.03424043397877283
46,-6.241287526907504,-0.0783312096791058,-0.021572604218682186
47,-6.1354199470190975,-0.08532357363070821,0.004924006481560987
48,-6.039843566543508,-0.08359999448413413,-0.052622804310606834
49,-5.950208473410837,-0.09503116563716624,-0.05769548003052061
50,-5.826244719817301,-0.08632858935298528,-0.04129096028729886
51,-5.75485982246508,-0.09373463491671408,-0.007329270521168278
52,-5.647567162956197,-0.10087308783218885,-0.04695051069241465
53,-5.564192085471745,-0.10531256803217923,-0.07546077111171838
54,-5.46382584963811,-0.10192329391331768,-0.0947260959315616
55,-5.3704195232495096,-0.113872689496024,-0.0636470377997381
56,-5.275841718842147,-0.11518365587057712,-0.10669198294344043
57,-5.174181223049144,-0.11868362756111352,-0.0415938239736987
58,-5.089003684126101,-0.12658984731249803,-0.05679089645287278
59,-4.978628699013323,-0.12566184215232082,-0.05199833352847256
60,-4.8748821909908635,-0.13039377223368695,-0.01903772637742271
61,-4.779475826364125,-0.126289321611661,-0.012395349225763908
62,-4.689871449831292,-0.13321135738277534,0.013064730039426944
63,-4.594576083276319,-0.13046937468465136,-0.015432873353928084
64,-4.49228361859087,-0.12800050982925829,0.026362336193549017
65,-4.395412516206216,-0.12876219247197385,0.07329108717624287
66,-4.300857622888303,-0.12447515462048703,0.08221195766212558
67,-4.202403501902102,-0.12543157563945345,0.0966400853767005
68,-4.106794903517439,-0.1199782737932944,0.11635638261305417
69,-4.005217460642368,-0.11969559088301707,0.12593030647804135
70,-3.9001780544562425,-0.1188548555867635,0.12736071864818835
71,-3.8054228537608044,-0.11396755621561468,0.16321212487991826
72,-3.69283847312084,-0.11382504533670988,0.16046870544208688
73,-3.5881278445021545,-0.11034208730999877,0.16088126187844518
74,-3.4839242293175423,-0.10578418493725274,0.13920277009723656
75,-3.380546320093034,-0.10449349838072318,0.1311278740301057
76,-3.273705535388496,-0.09931607776217088,0.12124563990576025
77,-3.170468472111881,-0.096231242460379,0.11241560502755572
78,-3.0621018701742293,-0.09249393683823251,0.09939837364672868
79,-2.951180953868906,-0.0908919307950175,0.06626136926435258
80,-2.835672585041638,-0.08926681014135424,0.06160346600722129
81,-2.727734010757706,-0.08516605249335966,0.056648618449478015
82,-2.6125651659228737,-0.08464907405028782,0.05817012299432643
83,-2.5017439940778177,-0.08126023290678573,0.03966353688372441
84,-2.39143160568086,-0.07894155747760101,0.03623507143449938
85,-2.2813058158431674,-0.07539387700681452,0.034415576556344064
86,-2.1686407065518862,-0.07503185957708078,0.03242506804427875
87,-2.0619184109994237,-0.06927895205568127,0.030823300584647675
88,-1.956556832066517,-0.06347305475652121,0.030038358082427996
89,-1.8473258065655491,-0.0626267884009231,0.03348256921732635
90,-1.7537654892331211,-0.054410122945062894,0.024376759917001264
91,-1.6543264195521779,-0.045004904168038415,0.033939415096972264
92,-1.546312813152624,-0.04002555053668105,0.019522067861195633
93,-1.4449025750799835,-0.03520003858755668,0.029757217812557114
94,-1.3522793551608834,-0.0302765219152979,0.04077500185065539
95,-1.2654227048292208,-0.022923550749020416,0.03708963961792086
96,-1.1719301626630287,-0.02084659504817997,0.047701420629504394
97,-1.0996270760247349,-0.014958628722767911,0.061086745077279084
98,-1.028126436408878,-0.0025735542855879973,0.04610033773903203
99,-0.9605366299493271,0.001889756206700045,0.06393509566112879
100,-0.8600719451517826,-0.005280406782162253,0.05804205204003671
