age,mx_m,qx_m,lx_m,dx_m,ex_m,mx_f,qx_f,lx_f,dx_f,ex_f,year_start,year_end
0,0.012902,0.01282,100000.0,1282.0,70.81,0.009999,0.009949,100000.0,994.9,76.81,1980,1982
1,0.00087,0.000869,98718.0,85.8,70.73,0.000724,0.000724,99005.1,71.6,76.58,1980,1982
2,0.000528,0.000528,98632.2,52.1,69.79,0.000448,0.000447,98933.4,44.3,75.63,1980,1982
3,0.000401,0.000401,98580.1,39.6,68.83,0.000305,0.000305,98889.2,30.2,74.66,1980,1982
4,0.000381,0.000381,98540.6,37.5,67.86,0.000254,0.000254,98859.0,25.1,73.69,1980,1982
5,0.000315,0.000315,98503.1,31.0,66.88,0.000235,0.000235,98833.9,23.2,72.71,1980,1982
6,0.000298,0.000298,98472.0,29.4,65.9,0.000222,0.000222,98810.7,21.9,71.72,1980,1982
7,0.000277,0.000277,98442.7,27.2,64.92,0.000187,0.000187,98788.7,18.5,70.74,1980,1982
8,0.00027,0.00027,98415.4,26.6,63.94,0.0002,0.0002,98770.3,19.8,69.75,1980,1982
9,0.000242,0.000242,98388.9,23.8,62.96,0.000156,0.000156,98750.5,15.4,68.77,1980,1982
10,0.000234,0.000234,98365.1,23.0,61.97,0.000204,0.000204,98735.1,20.1,67.78,1980,1982
11,0.000266,0.000266,98342.0,26.2,60.99,0.000182,0.000182,98715.0,17.9,66.79,1980,1982
12,0.000258,0.000258,98315.8,25.4,60.0,0.000176,0.000176,98697.1,17.4,65.8,1980,1982
13,0.000295,0.000295,98290.5,29.0,59.02,0.000197,0.000197,98679.7,19.4,64.81,1980,1982
14,0.000369,0.000369,98261.5,36.3,58.04,0.000223,0.000223,98660.3,22.0,63.83,1980,1982
15,0.000416,0.000416,98225.2,40.9,57.06,0.000247,0.000247,98638.4,24.4,62.84,1980,1982
16,0.000538,0.000538,98184.4,52.8,56.08,0.000311,0.000311,98614.0,30.7,61.86,1980,1982
17,0.001036,0.001035,98131.6,101.6,55.11,0.000319,0.000319,98583.3,31.4,60.88,1980,1982
18,0.001096,0.001095,98030.0,107.4,54.17,0.00038,0.00038,98551.9,37.5,59.89,1980,1982
19,0.001052,0.001052,97922.6,103.0,53.23,0.00033,0.00033,98514.4,32.5,58.92,1980,1982
20,0.001001,0.001001,97819.6,97.9,52.28,0.000375,0.000375,98481.9,36.9,57.94,1980,1982
21,0.000884,0.000884,97721.7,86.4,51.33,0.000338,0.000338,98445.0,33.3,56.96,1980,1982
22,0.000877,0.000877,97635.3,85.6,50.38,0.000358,0.000358,98411.7,35.2,55.98,1980,1982
23,0.00086,0.000859,97549.8,83.8,49.42,0.000385,0.000385,98376.4,37.8,55.0,1980,1982
24,0.000856,0.000856,97465.9,83.4,48.46,0.000376,0.000376,98338.6,36.9,54.02,1980,1982
25,0.000841,0.000841,97382.5,81.9,47.51,0.000393,0.000392,98301.7,38.6,53.04,1980,1982
