year_start,k1t_f,k2t_f
1980,-2.6206761961593656,-0.4627447296627249
1981,-2.439939906769041,-0.3670044407669886
1982,-2.2592036173787164,-0.27810274393523365
1983,-2.0784673279884487,-0.1960396391674598
1984,-1.897731038598124,-0.1208151264636671
1985,-1.7169947492078563,-0.052429205823855574
1986,-1.5362584598175317,0.009118122751974822
1987,-1.3555221704272071,0.06382685926382406
1988,-1.1747858810369394,0.11169700371169214
1989,-0.9940495916466148,0.15272855609557906
1990,-0.813313302256347,0.18692151641548485
1991,-0.6325770128660224,0.21427588467140946
1992,-0.4518407234756978,0.23479166086335293
1993,-0.27110443408543006,0.24846884499131525
1994,-0.09036814469510546,0.2553074370552964
1995,0.0903681446951623,0.2553074370552964
1996,0.2711044340854869,0.24846884499131525
1997,0.45184072347575466,0.23479166086335293
1998,0.6325770128660793,0.21427588467140946
1999,0.8133133022564039,0.18692151641548485
2000,0.9940495916466716,0.15272855609557906
2001,1.1747858810369962,0.11169700371169214
2002,1.355522170427264,0.06382685926382406
2003,1.5362584598175886,0.009118122751974822
2004,1.7169947492079132,-0.052429205823855574
2005,1.897731038598181,-0.1208151264636671
2006,2.0784673279885055,-0.1960396391674598
2007,2.2592036173787733,-0.27810274393523365
2008,2.439939906769098,-0.3670044407669886
2009,2.6206761961594225,-0.4627447296627249
2010,2.8014124855496902,-0.5653236106224422
2011,2.982148774940015,-0.6747410836461407
2012,3.1628850643302826,-0.7909971487338203
2013,3.343621353720607,-0.914091805885481
2014,3.524357643110932,-1.044025055101123
2015,3.7050939325011996,-1.180796896380746
2016,3.885830221891524,-1.3244073297243504
2017,4.066566511281792,-1.4748563551319356
2018,4.2473028006721165,-1.6321439726035023
2019,4.428039090062441,-1.79627018213905
2020,4.608775379452709,-1.9672349837385787
2021,4.7895116688430335,-2.145038377402089
2022,4.970247958233301,-2.3296803631295804
