year_start,k1t_m,k2t_m
1980,-3.195892923755025,-0.6754152554018575
1981,-2.9754865152202115,-0.5356741680773356
1982,-2.755080106685398,-0.4059145869902791
1983,-2.5346736981505273,-0.28613651214068864
1984,-2.3142672896157137,-0.17633994352856402
1985,-2.0938608810809,-0.07652488115390532
1986,-1.8734544725460296,0.013308674983287527
1987,-1.653048064011216,0.09316072488301452
1988,-1.4326416554764023,0.1630312685452756
1989,-1.2122352469415318,0.22292030597007084
1990,-0.9918288384067182,0.2728278371574002
1991,-0.7714224298719046,0.3127538621072637
1992,-0.5510160213370909,0.3426983808196613
1993,-0.33060961280222045,0.36266139329459307
1994,-0.11020320426740682,0.3726428995320589
1995,0.11020320426740682,0.3726428995320589
1996,0.3306096128022773,0.36266139329459307
1997,0.5510160213370909,0.3426983808196613
1998,0.7714224298719046,0.3127538621072637
1999,0.991828838406775,0.2728278371574002
2000,1.2122352469415887,0.22292030597007084
2001,1.4326416554764023,0.1630312685452756
2002,1.6530480640112728,0.09316072488301452
2003,1.8734544725460864,0.013308674983287527
2004,2.0938608810809,-0.07652488115390532
2005,2.3142672896157706,-0.17633994352856402
2006,2.534673698150584,-0.28613651214068864
2007,2.755080106685398,-0.4059145869902791
2008,2.9754865152202683,-0.5356741680773356
2009,3.195892923755082,-0.6754152554018575
2010,3.4162993322898956,-0.8251378489638457
2011,3.636705740824709,-0.9848419487632998
2012,3.8571121493595797,-1.1545275548002196
2013,4.077518557894393,-1.3341946670746052
2014,4.297924966429207,-1.5238432855864568
2015,4.518331374964077,-1.723473410335774
2016,4.738737783498891,-1.9330850413225575
2017,4.959144192033705,-2.152678178546807
2018,5.179550600568575,-2.382252822008522
2019,5.399957009103389,-2.621808971707703
2020,5.6203634176382025,-2.87134662764435
2021,5.840769826173073,-3.130865789818462
2022,6.061176234707887,-3.400366458230041
