year_start,k1t_m,k2t_m
1980,-2.992121959320366,-0.3708630652865139
1981,-2.8003711384599006,-0.3505985901598126
1982,-2.582629694346083,-0.3560742106616867
1983,-2.4521779277224005,-0.3577140552716092
1984,-2.2326694644545078,-0.3168200805124412
1985,-2.0334762347345183,-0.2656486832724518
1986,-1.8451302138101577,-0.2165642460745941
1987,-1.7284353249450448,-0.14451619829811255
1988,-1.601599062747061,-0.01832278152735094
1989,-1.3999537704615164,0.07874917122346935
1990,-1.0986778125398424,0.15731696849748902
1991,-0.8801942716927805,0.1938268266779758
1992,-0.5380455723714854,0.2565859916008623
1993,-0.36753087535325024,0.35266068405770673
1994,-0.10405648866922963,0.4213085581002975
1995,0.01717006951431204,0.4644129900153832
1996,0.17727731133195423,0.48811713710819155
1997,0.3629901306589351,0.4821060251502215
1998,0.6473875217533517,0.49247179831397236
1999,0.9374992083380365,0.461197175658041
2000,1.1709179482836303,0.4336109039835469
2001,1.3428221855485485,0.34165508645888015
2002,1.6130120762075109,0.18435665836100174
2003,1.8842388133415156,0.008482599318672375
2004,2.130772360518146,-0.13675031920826694
2005,2.277813756533508,-0.21694187889841973
2006,2.4737480278317645,-0.2961940351550397
2007,2.8326033375909354,-0.3916910039342604
2008,3.2029923853943196,-0.573899287919892
2009,3.5858246787816883,-0.8042601383452689
