age,mx_m,qx_m,lx_m,dx_m,ex_m,mx_f,qx_f,lx_f,dx_f,ex_f,year_start,year_end,k1t_m,k2t_m,ax_m,b1x_m,b2x_m,k1t_f,k2t_f,ax_f,b1x_f,b2x_f,log_mx_m,log_M1x_m,log_M2x_m,log_mx_f,log_M1x_f,log_M2x_f,E1x_m,E2x_m,E1x_f,E2x_f
0,0.012902,0.01282,100000.0,1282.0,70.81,0.009999,0.009949,100000.0,994.9,76.81,1980,1982,-3.195892923755025,-0.6754152554018575,-4.905466458501822,-0.14786133805079907,-0.17803104008716006,-2.6206761961593656,-0.4627447296627249,-5.139286346142019,-0.16692425339668157,-0.19894405990787525,-4.350372940872087,-4.432917454528323,-4.3126725741183956,-4.605270190988425,-4.701831928703662,-4.609771613483587,-0.08254451365623616,0.03770036675369148,-0.0965617377152368,-0.004501422495161833
1,0.00087,0.000869,98718.0,85.8,70.73,0.000724,0.000724,99005.1,71.6,76.58,1980,1982,-3.195892923755025,-0.6754152554018575,-7.5293321233443296,-0.14675162928692462,-0.07309432520653031,-2.6206761961593656,-0.4627447296627249,-7.679118272897474,-0.1791738111103734,-0.14006509319244181,-7.047017346315645,-7.060329629756726,-7.010960607428931,-7.230719165578558,-7.209561731145365,-7.144747347460844,-0.013312283441081263,0.0360567388867139,0.021157434433193067,0.08597181811771382
2,0.000528,0.000528,98632.2,52.1,69.79,0.000448,0.000447,98933.4,44.3,75.63,1980,1982,-3.195892923755025,-0.6754152554018575,-8.017684830907566,-0.1521068784149853,-0.027579433558726458,-2.6206761961593656,-0.4627447296627249,-8.220972395371998,-0.19173806570495855,-0.0733619800339124,-7.546414274258012,-7.531567534526649,-7.512939964365743,-7.710717325549289,-7.718489010681373,-7.684541141063058,0.014846739731363634,0.03347430989226918,-0.007771685132084372,0.02617618448623027
3,0.000401,0.000401,98580.1,39.6,68.83,0.000305,0.000305,98889.2,30.2,74.66,1980,1982,-3.195892923755025,-0.6754152554018575,-8.306788912206644,-0.17566472043834608,-0.09871908737750454,-2.6206761961593656,-0.4627447296627249,-8.505920660791501,-0.16193485834111204,-0.21849156047976637,-7.821549130657705,-7.745383275204329,-7.678706897590214,-8.095198781356862,-8.08154183220851,-7.980436014120714,0.07616585545337617,0.14284223306749144,0.013656949148352027,0.1147627672361482
4,0.000381,0.000381,98540.6,37.5,67.86,0.000254,0.000254,98859.0,25.1,73.69,1980,1982,-3.195892923755025,-0.6754152554018575,-8.521435392969726,-0.18179053040223916,0.03875893525794055,-2.6206761961593656,-0.4627447296627249,-8.736447701433342,-0.17551266418762737,-0.3291646947623882,-7.872711182837573,-7.940452323251537,-7.966630699407883,-8.278176290945737,-8.276485840272315,-8.12416661257998,-0.06774114041396384,-0.09391951657030972,0.0016904506734221059,0.15400967836575674
5,0.000315,0.000315,98503.1,31.0,66.88,0.000235,0.000235,98833.9,23.2,72.71,1980,1982,-3.195892923755025,-0.6754152554018575,-8.646682643458051,-0.17073277051717226,-0.1733205013113886,-2.6206761961593656,-0.4627447296627249,-8.867884070339697,-0.1779359678594077,-0.01929446728713029,-8.06293791913864,-8.10103899030913,-7.98397567964952,-8.355925043820115,-8.40157151492997,-8.3926431018812,-0.03810107117048922,0.07896223948912073,-0.04564647110985476,-0.0367180580610853
6,0.000298,0.000298,98472.0,29.4,65.9,0.000222,0.000222,98810.7,21.9,71.72,1980,1982,-3.195892923755025,-0.6754152554018575,-8.691927807741532,-0.1575148020296959,-0.11002790448972143,-2.6206761961593656,-0.4627447296627249,-8.905705478813566,-0.1789300888334933,-0.025764115622454935,-8.11841707145887,-8.188527366548154,-8.114212841335897,-8.412833176091995,-8.43678765423095,-8.424865445512237,-0.07011029508928424,0.004204230122972774,-0.023954478138954016,-0.012032269420242159
7,0.000277,0.000277,98442.7,27.2,64.92,0.000187,0.000187,98788.7,18.5,70.74,1980,1982,-3.195892923755025,-0.6754152554018575,-8.79155038375442,-0.199865570994483,-0.07115052184605836,-2.6206761961593656,-0.4627447296627249,-9.077591172258042,-0.18226059840297607,-0.13436007222784518,-8.191493051776936,-8.152801419710894,-8.104745271826262,-8.584401941109688,-8.599945160525602,-8.537770745225064,0.0386916320660422,0.08674777995067373,-0.015543219415913967,0.04663119588462372
8,0.00027,0.00027,98415.4,26.6,63.94,0.0002,0.0002,98770.3,19.8,69.75,1980,1982,-3.195892923755025,-0.6754152554018575,-8.761235449815105,-0.15509002856990534,-0.18139372625519143,-2.6206761961593656,-0.4627447296627249,-9.09586430072928,-0.16087126192444456,-0.20769711614254327,-8.2170885989659,-8.26558432496358,-8.143068235016635,-8.517193191416238,-8.67427281395777,-8.578162068096661,-0.048495725997680594,0.07402036394926448,-0.15707962254153252,-0.06096887668042328
9,0.000242,0.000242,98388.9,23.8,62.96,0.000156,0.000156,98750.5,15.4,68.77,1980,1982,-3.195892923755025,-0.6754152554018575,-8.800917247764348,-0.14100515576780495,-0.07628207636501134,-2.6206761961593656,-0.4627447296627249,-9.080784987684327,-0.166972157716743,-0.18135404122511067,-8.326572831807587,-8.350279868233045,-8.298757790142387,-8.765654550714737,-8.643205028534691,-8.559284401754734,-0.023707036425458128,0.027815041665199658,0.12244952218004634,0.20637014896000316
